Pilot ID,Name,Contact Information,Airline/Organization,Job Title,Training Enrollment Date,Training Status,Verification Status,Verification Date,Simulator Type,Training Program,Session Start Date,Session End Date,Session Frequency,Session Records,Training Cost,Subsidy Amount,Final Cost to Pilot,Enrollment Method,Coordinator,Comments/Notes,Compliance Status,Audits,Last Update Date,Report Generation Date,Data Extraction Date,Statistical Metrics
c41b2bcf,Sandra Jenkins,lsmith@hotmail.com,"Berry, Pittman and Kelley","Editor, commissioning",2020-08-16,In Progress,Rejected,2024-06-27,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-01-05,2024-04-27,Bi-weekly,1,6344,1884,3529,Online,Dr. Megan Moore,Attorney apply understand character baby campaign.,Compliant,Compare travel director share to future body.,2024-07-21,2024-02-21,2024-03-16,Avg Usage: 3 sessions/month
1b9dc97e,David Greene,jonathanallen@hall-perkins.net,"Lamb, Jackson and Wilson","Surveyor, rural practice",2020-07-14,In Progress,Verified,2021-06-28,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-01-22,2024-06-08,Weekly,3,2193,1176,1965,In-person,Kevin Carter,Couple tax despite bill also.,Non-Compliant,Bed minute vote team.,2024-03-11,2024-05-10,2024-03-08,Avg Usage: 9 sessions/month
0983770c,Connie Olson,tammyklein@smith.info,Hendricks Inc,Higher education careers adviser,2020-11-23,In Progress,Pending,2020-06-24,CAE Prodigy Image Generator,Recurrency Training,2024-05-09,2024-01-24,Weekly,1,3600,1539,708,Online,Adrienne Garcia,However whom difference increase good.,Non-Compliant,Cold early ask old leader discussion.,2024-06-26,2024-03-04,2024-08-06,Avg Usage: 4 sessions/month
d52b0291,Amanda Barrera,kimnicholas@miranda.com,"Nichols, Rodriguez and Vasquez",Geoscientist,2021-10-22,In Progress,Verified,2022-01-26,CAE Prodigy Image Generator,Recurrency Training,2024-05-04,2024-06-22,Weekly,9,9444,1934,3946,Online,John Barnes,World level by partner.,Non-Compliant,Miss call professor wish allow music.,2024-01-20,2024-02-12,2024-02-12,Avg Usage: 6 sessions/month
7db6161b,Daniel Christensen,sheila72@miller-pruitt.org,"Chan, Wilson and Mahoney",Barista,2021-10-23,Completed,Rejected,2020-03-03,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-03-24,2024-03-01,Weekly,5,3544,3264,3472,Online,Sabrina Jackson,Plan together low choice western.,Non-Compliant,Raise single as condition father sort consumer campaign.,2024-01-04,2024-05-11,2024-05-02,Avg Usage: 10 sessions/month
8a718005,Theresa Byrd,phillipmiller@gmail.com,Olson-Nguyen,Public relations account executive,2022-01-13,Enrolled,Pending,2022-11-23,CAE Simfinity XR Series,Recurrency Training,2024-03-26,2024-04-01,Weekly,1,8551,3434,4593,In-person,Harold Wiggins,Discover five area a a.,Non-Compliant,Firm senior career season piece land hotel.,2024-07-06,2024-06-18,2024-03-10,Avg Usage: 9 sessions/month
b889df31,Michelle Boyer,hicksisaiah@hotmail.com,Lucas-Williams,Immunologist,2021-11-08,In Progress,Rejected,2020-01-08,CAE 7000XR Full-Flight,Initial Pilot Training,2024-02-08,2024-03-20,Weekly,5,8908,987,4329,In-person,Gloria Gilbert,Buy front since whole matter herself.,Non-Compliant,Even car suggest common administration give.,2024-06-05,2024-01-07,2024-01-17,Avg Usage: 10 sessions/month
fa25a4cf,Walter Reeves,rickymorales@williams-olson.com,Fuller LLC,Theatre director,2020-08-28,Enrolled,Verified,2023-03-20,CAE Prodigy Image Generator,Recurrency Training,2024-06-04,2024-02-12,Monthly,4,2688,3109,879,In-person,Jordan Adams,Education week forward structure join ten.,Compliant,American such want wait summer.,2024-06-29,2024-01-19,2024-05-08,Avg Usage: 5 sessions/month
b7ccf276,Katherine Green,kristenhanna@simmons-young.com,Rivas-Townsend,Materials engineer,2022-03-08,Enrolled,Pending,2024-06-03,CAE 7000XR Full-Flight,Initial Pilot Training,2024-07-16,2024-03-16,Weekly,9,8116,3982,987,In-person,Melanie Smith,Treat allow science attention opportunity their score.,Non-Compliant,Worker media large soldier catch.,2024-08-06,2024-05-08,2024-05-09,Avg Usage: 3 sessions/month
52388f7e,Samuel Harrison,ybutler@brooks.com,Waters-Olson,Legal secretary,2020-10-07,In Progress,Pending,2024-02-27,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-02-18,2024-07-26,Bi-weekly,8,7681,2391,3536,In-person,Jeff Maddox,Small actually exist beautiful across financial hospital.,Non-Compliant,Once task catch still for look democratic.,2024-05-04,2024-02-03,2024-01-18,Avg Usage: 3 sessions/month
69616a9a,Emily Ball,michaelsimpson@yahoo.com,"Patel, Parker and Bell",Airline pilot,2022-08-03,Enrolled,Pending,2021-05-23,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-04-11,2024-03-18,Monthly,6,2462,2182,632,In-person,Edward Welch,Machine big shake study wish.,Non-Compliant,Past street information law.,2024-06-18,2024-01-25,2024-01-16,Avg Usage: 7 sessions/month
56a6fad9,Steven Gibson,rhopkins@peterson-goodwin.com,Hanson-Lopez,Television floor manager,2024-06-20,Enrolled,Rejected,2020-08-26,CAE 7000XR Full-Flight,Initial Pilot Training,2024-05-02,2024-02-19,Bi-weekly,3,7934,2518,3065,In-person,Darren Hansen,There power left sing class have rate.,Non-Compliant,Good painting use work important great course.,2024-01-10,2024-03-29,2024-03-15,Avg Usage: 9 sessions/month
a796c680,Tyler Reese,clintonallen@yahoo.com,"White, Mccarty and White",Magazine features editor,2023-11-09,Completed,Verified,2023-10-29,CAE Simfinity XR Series,Initial Pilot Training,2024-05-14,2024-07-25,Bi-weekly,3,6521,2911,3191,In-person,Daniel Ortiz II,Common yeah travel financial significant purpose physical term.,Non-Compliant,Eat true that heavy.,2024-05-10,2024-06-05,2024-03-27,Avg Usage: 8 sessions/month
796693b7,Kyle Matthews,andreawalker@hall.com,Huber LLC,Food technologist,2021-12-24,Enrolled,Verified,2021-11-26,CAE 7000XR Full-Flight,Initial Pilot Training,2024-07-23,2024-06-09,Monthly,6,5640,2795,4675,Online,Robert Welch,Cultural serious doctor west arrive.,Compliant,Student myself large support cost no.,2024-06-25,2024-03-06,2024-02-01,Avg Usage: 5 sessions/month
afaa9ba8,Rodney Harris,daniel67@yahoo.com,Lewis-Gregory,"Surveyor, planning and development",2020-10-24,Enrolled,Verified,2020-05-23,CAE 7000XR Full-Flight,Initial Pilot Training,2024-06-10,2024-05-03,Weekly,2,4704,4312,3533,Online,Tammy Oliver,Away church total night.,Non-Compliant,Book exist nice wide ever part southern hand.,2024-05-25,2024-05-30,2024-05-25,Avg Usage: 8 sessions/month
79686e5b,Joseph Mitchell,ballbrandon@gmail.com,"Harper, Jones and Landry",Landscape architect,2022-01-08,Enrolled,Verified,2021-07-20,CAE 7000XR Full-Flight,Recurrency Training,2024-01-10,2024-06-21,Weekly,4,6076,2777,4810,Online,Barbara Gonzalez,Assume father it check top student.,Compliant,View wonder him choice suddenly all.,2024-06-26,2024-05-30,2024-06-06,Avg Usage: 8 sessions/month
6f111604,Tanya Weaver,michele03@gmail.com,"Roman, Anderson and Lopez",Marketing executive,2023-10-16,In Progress,Rejected,2024-04-23,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-01-12,2024-07-22,Monthly,3,8130,3630,3927,Online,Eric Massey,Artist serve return two purpose nothing leave.,Compliant,That hear space buy run.,2024-03-02,2024-07-08,2024-02-23,Avg Usage: 6 sessions/month
aa01ec31,Laura Anderson,conradkenneth@gmail.com,Middleton-Bell,Contracting civil engineer,2021-11-10,Completed,Pending,2023-11-05,CAE 7000XR Full-Flight,Recurrency Training,2024-05-21,2024-01-14,Monthly,4,6080,3618,3818,In-person,Angela Marquez,Reflect bag produce.,Compliant,Explain billion PM deal.,2024-04-04,2024-02-12,2024-05-22,Avg Usage: 6 sessions/month
41e298f1,Nicholas Moore,krystaladkins@gmail.com,"Barr, Powell and Mills",Insurance underwriter,2021-10-16,Completed,Verified,2023-07-26,CAE Simfinity XR Series,Recurrency Training,2024-02-27,2024-06-16,Bi-weekly,6,3796,4484,4981,Online,Patrick Taylor,Television former focus throw.,Non-Compliant,Fear safe several both be president place.,2024-02-26,2024-06-30,2024-03-27,Avg Usage: 9 sessions/month
621f8f64,Barbara Newton,turnerkeith@yahoo.com,"Hood, Bullock and Wilson","Programme researcher, broadcasting/film/video",2022-07-23,Completed,Pending,2020-06-18,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-02-06,2024-03-26,Bi-weekly,1,3332,4532,4261,In-person,Paul Alvarez,Able despite nice consider visit.,Compliant,Whole financial kitchen wall rock national.,2024-02-24,2024-02-29,2024-07-05,Avg Usage: 9 sessions/month
fad4a733,Raymond Miller,duncangregory@hotmail.com,Beard PLC,Environmental health practitioner,2022-04-23,Enrolled,Rejected,2023-07-16,CAE Prodigy Image Generator,Initial Pilot Training,2024-03-05,2024-05-06,Weekly,6,6991,2453,594,Online,Tasha Ford,Really government within expert present laugh manage.,Compliant,Join perform within type reality interesting store.,2024-05-12,2024-03-19,2024-06-07,Avg Usage: 9 sessions/month
a20520fe,Kevin Hansen,robert86@jimenez-green.com,Rush-Rodriguez,Software engineer,2021-05-26,Enrolled,Verified,2020-08-16,CAE 7000XR Full-Flight,Initial Pilot Training,2024-04-22,2024-03-09,Weekly,8,5800,2903,1405,Online,Joshua Noble,Remain statement knowledge simply.,Non-Compliant,Prepare entire that choice picture these.,2024-06-05,2024-03-08,2024-07-05,Avg Usage: 8 sessions/month
b26daf67,Brittany Scott,carrie31@hotmail.com,Taylor Ltd,Sport and exercise psychologist,2024-05-05,Enrolled,Rejected,2021-11-02,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-03-18,2024-02-24,Bi-weekly,3,8648,4592,2806,In-person,Johnny Hess,Third wide into catch race visit.,Compliant,Agency catch modern various address hair not.,2024-06-16,2024-01-15,2024-07-14,Avg Usage: 10 sessions/month
2668f239,Amy Campbell,knelson@sandoval.com,Ortega PLC,"Embryologist, clinical",2022-03-06,Completed,Pending,2023-06-29,CAE Simfinity XR Series,Recurrency Training,2024-07-09,2024-04-23,Monthly,8,2947,2751,4798,In-person,Robert Webb,Per watch give author with poor drug head.,Non-Compliant,Will think former run policy financial.,2024-04-11,2024-04-19,2024-05-20,Avg Usage: 8 sessions/month
0f5827ce,Courtney Smith,jack84@gmail.com,"Bush, Long and Moore",Ceramics designer,2021-02-03,Completed,Rejected,2021-10-26,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-06-28,2024-04-22,Monthly,3,6664,921,2939,Online,Darrell Parks,Color friend federal full really watch man.,Non-Compliant,Always investment professor.,2024-03-21,2024-02-09,2024-03-21,Avg Usage: 7 sessions/month
94606458,Jonathan Cooper,ewalker@washington-bennett.com,Miller LLC,Operational researcher,2023-09-16,Completed,Verified,2021-07-28,CAE Prodigy Image Generator,Recurrency Training,2024-03-04,2024-03-15,Monthly,7,2575,3900,3166,In-person,Ronald French,Perhaps least federal career focus policy program.,Non-Compliant,Reason quickly alone whose guy.,2024-05-21,2024-01-13,2024-03-11,Avg Usage: 9 sessions/month
598bd548,Kayla Olson,pearsonmax@ingram.com,Schmidt-Sweeney,Art therapist,2020-04-13,Enrolled,Rejected,2022-07-24,CAE Simfinity XR Series,Initial Pilot Training,2024-03-13,2024-03-04,Bi-weekly,9,7719,1664,3646,In-person,Pamela King,Particularly money forward organization.,Non-Compliant,Along western different movement early.,2024-06-16,2024-03-13,2024-02-23,Avg Usage: 3 sessions/month
37494ffe,Kaitlyn Ross,kevinbrown@hall.org,Daniels PLC,Environmental manager,2023-08-26,Enrolled,Verified,2023-08-05,CAE Simfinity XR Series,Recurrency Training,2024-03-09,2024-03-29,Monthly,1,5154,1888,717,Online,Troy Huber,Game want by everything.,Compliant,Early night space probably drive land.,2024-06-06,2024-07-19,2024-05-08,Avg Usage: 1 sessions/month
9e20f508,Adam Harrison,hollymiller@wilson.com,"Burns, Steele and Hill",Interpreter,2020-12-04,In Progress,Rejected,2023-05-03,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-07-05,2024-05-12,Bi-weekly,4,3073,2249,2883,In-person,Erin Arellano,Fire section money protect within range property.,Non-Compliant,Lose kind ask to.,2024-04-12,2024-04-11,2024-07-09,Avg Usage: 6 sessions/month
58ebdd01,Kimberly Calhoun,moralessteven@contreras-roth.info,"Joyce, Larson and Holmes",Banker,2020-01-31,Enrolled,Rejected,2022-06-06,CAE 7000XR Full-Flight,Initial Pilot Training,2024-03-05,2024-03-12,Weekly,7,6285,2877,1534,Online,Barbara Hall,Card case sister right.,Compliant,Gun teach finally turn.,2024-05-25,2024-01-28,2024-05-06,Avg Usage: 1 sessions/month
59a8d25d,Emily Santiago,tramsey@reyes-davidson.com,Castro-Hunter,Make,2020-04-15,In Progress,Verified,2022-03-13,CAE Prodigy Image Generator,Recurrency Training,2024-02-11,2024-05-08,Monthly,7,6352,4160,4174,In-person,Mr. Mark Moore,Partner simply citizen stock police water back.,Non-Compliant,Poor must identify put Democrat hope campaign.,2024-02-07,2024-01-27,2024-02-28,Avg Usage: 9 sessions/month
f941f88b,Elizabeth Castro,jeremy73@gmail.com,"Chandler, Riley and Jones",Management consultant,2024-05-16,In Progress,Rejected,2022-09-04,CAE 7000XR Full-Flight,Initial Pilot Training,2024-02-03,2024-07-29,Bi-weekly,1,5950,665,4391,Online,Jennifer Bowman,Before manager book guess son true management notice.,Non-Compliant,Party condition ok capital push shake.,2024-05-09,2024-02-18,2024-05-11,Avg Usage: 8 sessions/month
26eba2c6,Mason Waters,xrichard@yahoo.com,Jones-Garcia,"Teacher, music",2023-12-20,Completed,Pending,2021-03-26,CAE Simfinity XR Series,Initial Pilot Training,2024-07-20,2024-07-08,Bi-weekly,3,5005,1022,4701,In-person,Craig Howell,Boy treatment center hospital one than list.,Compliant,Eat book final little.,2024-06-14,2024-07-09,2024-04-19,Avg Usage: 4 sessions/month
c5eb01d0,Jessica Boone,teresamartinez@gmail.com,"Duke, Rodriguez and Horn",Financial manager,2020-04-10,Completed,Rejected,2021-11-12,CAE 7000XR Full-Flight,Initial Pilot Training,2024-05-11,2024-04-26,Bi-weekly,3,6133,4583,4858,In-person,Emily Martinez,Glass treatment cut school.,Compliant,Newspaper determine experience garden.,2024-01-22,2024-07-16,2024-06-02,Avg Usage: 9 sessions/month
52707f25,David Wright,vcoffey@yahoo.com,"Cochran, Pratt and Garcia",Pension scheme manager,2020-02-07,Completed,Pending,2022-03-01,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-02-12,2024-07-10,Monthly,1,9459,3629,571,Online,Shane Castro,Together use throw write religious him.,Non-Compliant,Get require others wife.,2024-03-12,2024-07-24,2024-04-24,Avg Usage: 9 sessions/month
a978272c,Jordan Martin,charles05@gmail.com,Payne-Burns,"Editor, magazine features",2021-07-29,Enrolled,Pending,2022-02-11,CAE Prodigy Image Generator,Initial Pilot Training,2024-02-14,2024-04-22,Bi-weekly,2,6736,664,4721,Online,Bradley Dalton,Here those task every film rise trade.,Non-Compliant,Speech history step best other family enough.,2024-02-06,2024-03-09,2024-06-18,Avg Usage: 3 sessions/month
3064e29a,Samantha Collins,katherinejones@sanchez.com,Anthony LLC,Barista,2021-12-17,In Progress,Rejected,2021-04-28,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-05-02,2024-05-23,Weekly,4,8001,916,1748,Online,Ashley Anderson,Authority picture continue song believe allow.,Compliant,List both expert down.,2024-05-07,2024-07-13,2024-07-19,Avg Usage: 6 sessions/month
8ff60040,Jose Wyatt,hannah48@hotmail.com,Hughes-Jackson,Commercial art gallery manager,2021-12-03,Completed,Verified,2020-08-04,CAE 7000XR Full-Flight,Initial Pilot Training,2024-02-12,2024-03-09,Monthly,6,4010,2868,3549,In-person,Lauren Hall,Travel audience responsibility probably very grow.,Compliant,Artist agreement sea property.,2024-07-19,2024-04-24,2024-06-03,Avg Usage: 2 sessions/month
edba7e24,Kelly Holden,martinrobert@gmail.com,Liu-Santiago,Retail manager,2020-05-07,Enrolled,Verified,2020-05-22,CAE Prodigy Image Generator,Initial Pilot Training,2024-03-09,2024-07-03,Monthly,7,5099,1341,4143,Online,Kevin Perez,Alone five job test star create.,Compliant,Forward say administration collection nothing.,2024-03-14,2024-06-15,2024-05-02,Avg Usage: 1 sessions/month
12b46fc2,Brian Rodriguez,kevinhart@jones-hudson.com,Wolf Inc,"Surveyor, insurance",2024-01-02,Enrolled,Rejected,2020-11-13,CAE 7000XR Full-Flight,Recurrency Training,2024-05-27,2024-04-16,Monthly,9,7030,3595,3339,Online,Randall Kirk,Class oil factor.,Compliant,Career listen like appear president our.,2024-02-20,2024-06-08,2024-06-12,Avg Usage: 6 sessions/month
2f904fba,James Meadows,sabrina31@yahoo.com,Hall-Johnson,Soil scientist,2020-05-21,Enrolled,Verified,2021-02-08,CAE Simfinity XR Series,Initial Pilot Training,2024-05-01,2024-03-24,Monthly,9,4477,1144,831,Online,Nancy Levine,Investment return his economy what often.,Non-Compliant,Enjoy eye blood matter.,2024-07-01,2024-07-31,2024-06-11,Avg Usage: 8 sessions/month
fa18c768,Elizabeth Alvarez,tinacampbell@yahoo.com,"Pittman, Simpson and Johnson",Database administrator,2020-08-01,Enrolled,Pending,2020-05-10,CAE Prodigy Image Generator,Initial Pilot Training,2024-05-10,2024-07-15,Bi-weekly,6,9006,660,4467,Online,Joseph Cruz,Mission cold hard form station.,Non-Compliant,Have water him these power.,2024-07-23,2024-03-26,2024-02-07,Avg Usage: 6 sessions/month
1be312fc,Shannon Mosley,craig13@yahoo.com,Hughes-Wilson,"Radiographer, therapeutic",2023-07-26,Completed,Pending,2021-04-14,CAE 7000XR Full-Flight,Recurrency Training,2024-02-18,2024-07-02,Weekly,1,2334,720,2054,In-person,Christopher Schmidt,Television nice star on exist hour executive account.,Compliant,Eight successful themselves recently television.,2024-03-16,2024-04-04,2024-02-24,Avg Usage: 4 sessions/month
00bfcdd0,Patty Sexton,ecarter@hurst.biz,Silva-Jackson,Health and safety inspector,2020-01-01,Enrolled,Verified,2022-09-13,CAE 7000XR Full-Flight,Initial Pilot Training,2024-05-11,2024-04-28,Weekly,2,3784,1412,3854,Online,Jessica Gray,By spring political our newspaper agency executive dinner.,Compliant,Former executive event.,2024-02-21,2024-05-26,2024-02-12,Avg Usage: 9 sessions/month
1948dca9,Melissa Garcia,ricky71@miller.com,Lee Inc,Homeopath,2024-06-29,Completed,Verified,2023-04-14,CAE 7000XR Full-Flight,Initial Pilot Training,2024-05-20,2024-06-08,Monthly,3,5467,3529,814,In-person,John Fuentes,Movement low claim.,Non-Compliant,Camera game trial reality take street.,2024-07-14,2024-02-15,2024-04-07,Avg Usage: 4 sessions/month
2b6b7ea4,Shawn Campbell,coxpaige@yahoo.com,Blake-Rowland,"Designer, fashion/clothing",2022-08-12,In Progress,Rejected,2024-04-14,CAE Simfinity XR Series,Initial Pilot Training,2024-05-16,2024-07-14,Bi-weekly,9,4254,4841,3793,Online,Patricia Boone,Mouth person sport white per property various.,Non-Compliant,Page pick majority owner society.,2024-06-19,2024-06-20,2024-01-21,Avg Usage: 6 sessions/month
eed3f51e,Christopher Hernandez,zacharyritter@yahoo.com,Clay and Sons,"Engineer, technical sales",2023-07-31,In Progress,Verified,2022-01-01,CAE Prodigy Image Generator,Initial Pilot Training,2024-04-12,2024-05-26,Bi-weekly,1,2032,4657,2163,Online,Alexis Cruz,Ahead tend trip pull from market person.,Non-Compliant,Sport form meet allow where probably.,2024-04-12,2024-07-25,2024-04-21,Avg Usage: 2 sessions/month
55501693,Alexandra Gonzalez,millercarolyn@hotmail.com,Neal-Williams,Chief Technology Officer,2024-06-21,Completed,Verified,2020-05-07,CAE Simfinity XR Series,Recurrency Training,2024-07-21,2024-04-02,Weekly,6,3345,4189,737,Online,Nicholas Barnes,Beautiful interesting land.,Compliant,Medical cultural process view significant painting.,2024-07-21,2024-06-12,2024-07-07,Avg Usage: 6 sessions/month
290aa548,Jason Robinson,james64@gibbs.com,Carroll-Mooney,Scientific laboratory technician,2024-07-21,In Progress,Pending,2021-11-05,CAE Simfinity XR Series,Recurrency Training,2024-03-10,2024-04-16,Monthly,7,3328,870,3308,Online,Steven Morris,Personal add lay air cell day.,Non-Compliant,Responsibility store happy walk western.,2024-03-04,2024-07-28,2024-06-10,Avg Usage: 6 sessions/month
71682c82,Elizabeth Stone,taylormatthew@yahoo.com,Walsh-Richards,"Education officer, community",2022-12-02,Enrolled,Rejected,2024-07-04,CAE Simfinity XR Series,Initial Pilot Training,2024-07-23,2024-06-08,Weekly,4,7404,1446,1039,In-person,Jessica Evans,Meeting man next.,Compliant,Five traditional interest law college rich should.,2024-01-01,2024-01-08,2024-06-27,Avg Usage: 10 sessions/month
2dc335b4,Tony Stevens,deborah83@davidson-ross.com,Sparks-Lewis,Sports therapist,2021-05-18,In Progress,Rejected,2021-10-28,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-04-03,2024-04-06,Bi-weekly,5,8055,4845,2718,Online,Lisa Rivas,Quickly send politics employee over occur.,Compliant,Artist perform imagine represent ahead usually lose.,2024-01-19,2024-05-16,2024-03-23,Avg Usage: 10 sessions/month
1c0dcc7a,Debbie Garcia,ryanbryan@hotmail.com,Taylor-Curtis,Careers adviser,2022-10-24,Completed,Pending,2022-10-01,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-01-08,2024-03-01,Weekly,9,9294,3906,1596,Online,Charles Smith,Before figure seven one space land physical together.,Compliant,Turn interview himself.,2024-02-02,2024-02-02,2024-05-25,Avg Usage: 7 sessions/month
70a046d6,Pamela Marquez,egregory@hicks-alvarado.biz,"Mcclure, Moore and Hanson",Research scientist (maths),2021-07-19,Enrolled,Verified,2020-12-24,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-01-19,2024-04-02,Bi-weekly,9,5761,749,4286,In-person,Megan Finley,Describe dream bag officer people either.,Compliant,Her four board agency in range arrive court.,2024-04-18,2024-04-28,2024-05-30,Avg Usage: 3 sessions/month
c3270d86,Betty Shaw,ysolis@baker.com,Conner Inc,Mental health nurse,2022-01-20,Completed,Pending,2021-04-08,CAE 7000XR Full-Flight,Recurrency Training,2024-01-16,2024-03-04,Bi-weekly,5,8321,856,570,Online,Robert Wade,Hospital hot through list black.,Non-Compliant,Determine wonder attorney kid notice team.,2024-02-08,2024-03-15,2024-04-23,Avg Usage: 3 sessions/month
e1cb76cc,Laura Ford,julia04@gmail.com,"Sosa, Smith and Ortega",Bonds trader,2022-02-26,In Progress,Verified,2023-03-08,CAE Simfinity XR Series,Recurrency Training,2024-01-06,2024-06-05,Monthly,5,5167,4174,3853,In-person,Donald Moore,Federal part front evidence support safe.,Compliant,Moment his himself arm maintain.,2024-05-13,2024-02-28,2024-05-03,Avg Usage: 6 sessions/month
ee69f3dc,Jacqueline James,crystalbrown@nielsen.biz,Dunn PLC,Cartographer,2021-10-14,Enrolled,Rejected,2020-03-03,CAE Simfinity XR Series,Initial Pilot Training,2024-01-26,2024-06-16,Monthly,2,7132,3205,4925,Online,Zachary Durham,Small well present these prepare goal.,Non-Compliant,Clearly civil draw interview most marriage green gun.,2024-01-04,2024-07-23,2024-07-16,Avg Usage: 3 sessions/month
de229e5d,Virginia Robinson,palmersteven@browning.org,Jones Ltd,Furniture conservator/restorer,2022-06-16,Enrolled,Verified,2023-07-20,CAE Prodigy Image Generator,Initial Pilot Training,2024-05-02,2024-01-16,Monthly,8,6355,2783,1027,In-person,Dawn Scott,Participant throughout air or challenge meet.,Non-Compliant,Water partner who hospital project about.,2024-02-20,2024-05-30,2024-01-18,Avg Usage: 2 sessions/month
4f24f78f,Glenda Ward,royhenry@chang.com,"Mendoza, Woods and Wallace","Optician, dispensing",2021-03-17,In Progress,Rejected,2022-04-13,CAE Simfinity XR Series,Recurrency Training,2024-03-10,2024-04-11,Bi-weekly,6,7211,1402,1583,Online,Donna Stewart MD,Have face scene house church community.,Non-Compliant,Off remember security certain show outside radio financial.,2024-07-22,2024-08-01,2024-03-05,Avg Usage: 7 sessions/month
c644db47,Steve Schwartz,scottcarpenter@yahoo.com,"Luna, Carter and Lowe",Analytical chemist,2020-09-15,Enrolled,Verified,2023-03-24,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-05-24,2024-04-21,Weekly,9,2261,3039,1480,In-person,Stephanie Collins,Watch garden beautiful start black suggest character.,Compliant,Attorney generation daughter return.,2024-04-17,2024-05-08,2024-03-13,Avg Usage: 10 sessions/month
c4e0616a,Jessica Mcfarland,powellellen@yahoo.com,"Patterson, Fry and Roberts","Teacher, early years/pre",2024-01-18,In Progress,Rejected,2023-05-16,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-07-03,2024-07-13,Monthly,1,9827,4964,4224,In-person,Annette Dennis,Suffer by my career law.,Compliant,Give certain star air operation lead short sometimes.,2024-02-28,2024-03-29,2024-01-23,Avg Usage: 8 sessions/month
6f833509,Michael Casey,hellis@yahoo.com,Dominguez-Adams,Tax adviser,2023-03-03,Completed,Rejected,2024-05-26,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-07-05,2024-04-17,Weekly,5,6835,1902,692,In-person,Tracie Kerr,Bar heavy human remember senior.,Non-Compliant,Employee last test stuff.,2024-05-15,2024-05-10,2024-05-16,Avg Usage: 4 sessions/month
a0cd4e11,Michael Johnson,andrewthomas@gmail.com,Kim LLC,Architectural technologist,2021-05-07,In Progress,Rejected,2020-03-18,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-07-17,2024-05-26,Weekly,1,8963,1473,3806,Online,John Castillo,Month cultural alone begin.,Non-Compliant,Support government name especially we theory American.,2024-06-11,2024-02-19,2024-08-05,Avg Usage: 5 sessions/month
6471222b,Maria Ortiz,cchen@gmail.com,"Foster, Stephens and Johnson",Ship broker,2022-11-22,Enrolled,Pending,2023-07-22,CAE Prodigy Image Generator,Recurrency Training,2024-02-09,2024-03-06,Monthly,6,4670,1905,4178,In-person,Chelsea Little,Some movement tell door laugh it.,Non-Compliant,Stuff buy wear movie program.,2024-01-17,2024-07-15,2024-01-27,Avg Usage: 6 sessions/month
a5aca81d,David Chapman,ericyoung@gmail.com,Smith LLC,Fast food restaurant manager,2023-03-17,Enrolled,Pending,2024-03-30,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-05-19,2024-04-08,Bi-weekly,3,3427,4091,527,In-person,Mr. Tyler Maynard Jr.,Sign their local give election indeed heavy.,Non-Compliant,Cultural difference keep east.,2024-04-16,2024-07-14,2024-08-03,Avg Usage: 3 sessions/month
4eab26c3,Lisa Rodriguez,natalie66@hotmail.com,Avery-Lee,Administrator,2021-02-12,Enrolled,Pending,2021-10-16,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-05-14,2024-02-28,Monthly,9,3061,3670,2158,In-person,Travis Ruiz,Worker above parent.,Compliant,On and PM nice represent entire.,2024-01-10,2024-07-12,2024-05-12,Avg Usage: 1 sessions/month
6c4d0363,David Cooper,joshua90@hotmail.com,Matthews and Sons,Race relations officer,2022-05-22,Enrolled,Verified,2023-01-12,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-06-05,2024-07-25,Bi-weekly,8,2081,957,2399,In-person,Bryan Edwards,Loss whether wear role.,Compliant,Provide should source.,2024-06-07,2024-04-28,2024-01-18,Avg Usage: 9 sessions/month
6d3c47e9,David Rodriguez,along@gmail.com,Yates Inc,Health promotion specialist,2021-10-25,Completed,Verified,2022-10-17,CAE 7000XR Full-Flight,Recurrency Training,2024-03-11,2024-02-10,Weekly,8,4614,2357,1206,Online,John Spears,Process station her single difference.,Non-Compliant,Continue push support deal computer.,2024-04-02,2024-05-29,2024-05-22,Avg Usage: 7 sessions/month
